payment_id,order_id,paid_at,amount,method,status,transaction_reference,kind
PAY-0001,ORD-0001,2026-06-01T14:13:00+00:00,89.8,marketplace,paid,TX-10001,payment
PAY-0002,ORD-0002,2026-06-15T19:17:00+00:00,59.8,debit_card,paid,TX-10002,payment
PAY-0003,ORD-0003,2026-06-04T15:24:00+00:00,59.9,debit_card,paid,TX-10003,payment
PAY-0004,ORD-0004,2026-06-18T13:59:00+00:00,114.7,debit_card,paid,TX-10004,payment
PAY-0006,ORD-0006,2026-06-22T01:23:00+00:00,176.88,marketplace,paid,TX-10006,payment
PAY-0007,ORD-0007,2026-06-08T16:29:00+00:00,164.7,debit_card,paid,TX-10007,payment
PAY-0008,ORD-0008,2026-06-26T18:25:00+00:00,14.9,credit_card,paid,TX-10008,payment
PAY-0009,ORD-0009,2026-06-15T15:16:00+00:00,184.8,marketplace,paid,TX-10009,payment
PAY-0010,ORD-0010,2026-06-13T14:14:00+00:00,79.8,marketplace,paid,TX-10010,payment
PAY-0011,ORD-0011,2026-06-20T14:24:00+00:00,174.7,pix,paid,TX-10011,payment
PAY-0012,ORD-0012,2026-06-11T15:18:00+00:00,44.8,marketplace,paid,TX-10012,payment
PAY-0013,ORD-0013,2026-06-28T22:19:00+00:00,179.7,credit_card,paid,TX-10013,payment
PAY-0015,ORD-0015,2026-06-03T14:46:00+00:00,29.9,credit_card,paid,TX-10015,payment
PAY-0016,ORD-0016,2026-06-09T21:55:00+00:00,299.7,credit_card,paid,TX-10016,payment
PAY-0018,ORD-0018,2026-06-08T17:14:00+00:00,109.7,pix,paid,TX-10018,payment
PAY-0019,ORD-0019,2026-06-08T15:42:00+00:00,24.9,marketplace,paid,TX-10019,payment
PAY-0020,ORD-0020,2026-06-07T14:06:00+00:00,354.8,pix,paid,TX-10020,payment
PAY-0021,ORD-0021,2026-06-24T14:51:00+00:00,84.9,cash,paid,TX-10021,payment
PAY-0022,ORD-0022,2026-06-15T16:55:00+00:00,149.9,pix,paid,TX-10022,payment
PAY-0023,ORD-0023,2026-07-01T02:54:00+00:00,29.9,marketplace,paid,TX-10023,payment
PAY-0025,ORD-0025,2026-06-26T20:42:00+00:00,426.2,pix,paid,TX-10025,payment
PAY-0026,ORD-0026,2026-06-11T12:03:00+00:00,14.9,pix,paid,TX-10026,payment
PAY-0027,ORD-0027,2026-06-20T13:43:00+00:00,89.9,marketplace,paid,TX-10027,payment
PAY-0028,ORD-0028,2026-06-14T19:37:00+00:00,119.7,debit_card,paid,TX-10028,payment
PAY-0029,ORD-0029,2026-06-22T22:19:00+00:00,159.8,cash,paid,TX-10029,payment
PAY-0030,ORD-0030,2026-06-18T13:32:00+00:00,44.9,credit_card,paid,TX-10030,payment
PAY-0032,ORD-0032,2026-06-04T14:47:00+00:00,89.9,credit_card,paid,TX-10032,payment
PAY-0033,ORD-0033,2026-06-22T03:16:00+00:00,19.9,cash,paid,TX-10033,payment
PAY-0034,ORD-0034,2026-06-12T00:08:00+00:00,79.9,cash,paid,TX-10034,payment
PAY-0035,ORD-0035,2026-06-29T20:57:00+00:00,39.9,marketplace,paid,TX-10035,payment
PAY-0036,ORD-0036,2026-06-10T15:57:00+00:00,149.9,pix,paid,TX-10036,payment
PAY-0037,ORD-0037,2026-06-24T11:59:00+00:00,49.8,marketplace,paid,TX-10037,payment
PAY-0038,ORD-0038,2026-06-29T01:51:00+00:00,54.8,marketplace,paid,TX-10038,payment
PAY-0039,ORD-0039,2026-06-27T20:22:00+00:00,99.9,pix,paid,TX-10039,payment
PAY-0040,ORD-0040,2026-06-09T23:04:00+00:00,359.8,marketplace,paid,TX-10040,payment
PAY-0041,ORD-0041,2026-06-06T20:16:00+00:00,39.9,debit_card,paid,TX-10041,payment
PAY-0042,ORD-0042,2026-06-13T23:12:00+00:00,99.7,marketplace,paid,TX-10042,payment
PAY-0043,ORD-0043,2026-06-24T21:42:00+00:00,74.7,marketplace,paid,TX-10043,payment
PAY-0044,ORD-0044,2026-06-17T13:42:00+00:00,269.7,credit_card,paid,TX-10044,payment
PAY-0045,ORD-0045,2026-06-23T01:57:00+00:00,444.7,marketplace,paid,TX-10045,payment
PAY-0046,ORD-0046,2026-06-07T17:50:00+00:00,79.8,cash,paid,TX-10046,payment
PAY-0047,ORD-0047,2026-06-26T22:47:00+00:00,534.7,marketplace,paid,TX-10047,payment
PAY-0049,ORD-0049,2026-06-29T19:36:00+00:00,174.8,marketplace,paid,TX-10049,payment
PAY-0050,ORD-0050,2026-06-01T23:55:00+00:00,164.7,marketplace,paid,TX-10050,payment
PAY-0051,ORD-0051,2026-07-01T01:07:00+00:00,119.7,marketplace,paid,TX-10051,payment
PAY-0052,ORD-0052,2026-06-28T00:57:00+00:00,59.8,credit_card,paid,TX-10052,payment
PAY-0053,ORD-0053,2026-06-25T13:53:00+00:00,199.8,credit_card,paid,TX-10053,payment
PAY-0054,ORD-0054,2026-06-10T12:17:00+00:00,84.9,credit_card,paid,TX-10054,payment
PAY-0055,ORD-0055,2026-06-05T19:13:00+00:00,344.8,cash,paid,TX-10055,payment
PAY-0056,ORD-0056,2026-06-29T20:37:00+00:00,354.8,cash,paid,TX-10056,payment
PAY-0057,ORD-0057,2026-06-29T00:26:00+00:00,64.8,credit_card,paid,TX-10057,payment
PAY-0058,ORD-0058,2026-06-16T09:24:00+00:00,354.8,cash,paid,TX-10058,payment
PAY-0059,ORD-0059,2026-06-30T20:37:00+00:00,134.7,credit_card,paid,TX-10059,payment
PAY-0060,ORD-0060,2026-06-09T20:20:00+00:00,99.9,marketplace,paid,TX-10060,payment
PAY-0061,ORD-0061,2026-06-16T14:47:00+00:00,299.8,pix,paid,TX-10061,payment
PAY-0062,ORD-0062,2026-06-08T01:01:00+00:00,39.9,pix,paid,TX-10062,payment
PAY-0064,ORD-0064,2026-06-19T23:58:00+00:00,44.9,marketplace,paid,TX-10064,payment
PAY-0065,ORD-0065,2026-06-25T16:54:00+00:00,164.9,debit_card,paid,TX-10065,payment
PAY-0066,ORD-0066,2026-06-03T18:41:00+00:00,449.7,cash,paid,TX-10066,payment
PAY-0068,ORD-0068,2026-06-15T00:46:00+00:00,54.8,debit_card,paid,TX-10068,payment
PAY-0070,ORD-0070,2026-06-26T16:21:00+00:00,96.7,pix,paid,TX-10070,payment
PAY-0071,ORD-0071,2026-06-24T20:31:00+00:00,179.9,cash,paid,TX-10071,payment
PAY-0072,ORD-0072,2026-06-08T18:44:00+00:00,39.9,marketplace,paid,TX-10072,payment
PAY-0073,ORD-0073,2026-06-24T17:21:00+00:00,54.8,debit_card,paid,TX-10073,payment
PAY-0075,ORD-0075,2026-06-09T20:37:00+00:00,534.7,debit_card,paid,TX-10075,payment
PAY-0076,ORD-0076,2026-06-02T00:34:00+00:00,34.9,marketplace,paid,TX-10076,payment
PAY-0077,ORD-0077,2026-06-04T21:00:00+00:00,174.7,credit_card,paid,TX-10077,payment
PAY-0078,ORD-0078,2026-06-27T15:25:00+00:00,159.8,credit_card,paid,TX-10078,payment
PAY-0079,ORD-0079,2026-06-08T12:35:00+00:00,89.8,marketplace,paid,TX-10079,payment
PAY-0080,ORD-0080,2026-06-28T23:27:00+00:00,199.8,pix,paid,TX-10080,payment
PAY-0081,ORD-0081,2026-06-09T18:05:00+00:00,539.7,marketplace,paid,TX-10081,payment
PAY-0082,ORD-0082,2026-06-20T20:18:00+00:00,284.8,pix,paid,TX-10082,payment
PAY-0083,ORD-0083,2026-06-19T20:51:00+00:00,344.8,marketplace,paid,TX-10083,payment
PAY-0084,ORD-0084,2026-06-06T20:19:00+00:00,59.9,cash,paid,TX-10084,payment
PAY-0085,ORD-0085,2026-06-23T14:17:00+00:00,299.7,marketplace,paid,TX-10085,payment
PAY-0086,ORD-0086,2026-06-20T18:01:00+00:00,449.7,pix,paid,TX-10086,payment
PAY-0087,ORD-0087,2026-06-26T00:11:00+00:00,239.7,credit_card,paid,TX-10087,payment
PAY-0088,ORD-0088,2026-06-03T18:22:00+00:00,444.7,debit_card,paid,TX-10088,payment
PAY-0090,ORD-0090,2026-06-25T17:55:00+00:00,159.8,cash,paid,TX-10090,payment
PAY-0091,ORD-0091,2026-06-12T21:48:00+00:00,29.9,debit_card,paid,TX-10091,payment
PAY-0093,ORD-0093,2026-06-01T21:26:00+00:00,109.8,pix,paid,TX-10093,payment
PAY-0094,ORD-0094,2026-06-10T19:45:00+00:00,104.8,credit_card,paid,TX-10094,payment
PAY-0095,ORD-0095,2026-06-07T23:32:00+00:00,24.9,marketplace,paid,TX-10095,payment
PAY-0096,ORD-0096,2026-06-10T23:19:00+00:00,59.8,cash,paid,TX-10096,payment
PAY-0097,ORD-0097,2026-06-19T00:34:00+00:00,199.8,credit_card,paid,TX-10097,payment
PAY-0098,ORD-0098,2026-06-02T16:47:00+00:00,144.9,credit_card,paid,TX-10098,payment
PAY-0099,ORD-0099,2026-06-19T16:55:00+00:00,29.9,credit_card,paid,TX-10099,payment
PAY-0100,ORD-0100,2026-06-26T15:21:00+00:00,54.9,marketplace,paid,TX-10100,payment
PAY-0102,ORD-0102,2026-06-03T16:06:00+00:00,64.9,pix,paid,TX-10102,payment
PAY-0103,ORD-0103,2026-06-12T15:09:00+00:00,79.8,marketplace,paid,TX-10103,payment
PAY-0104,ORD-0104,2026-06-20T23:15:00+00:00,264.7,cash,paid,TX-10104,payment
PAY-0105,ORD-0105,2026-06-22T11:57:00+00:00,159.8,pix,paid,TX-10105,payment
PAY-0106,ORD-0106,2026-06-21T20:44:00+00:00,104.7,cash,paid,TX-10106,payment
PAY-0107,ORD-0107,2026-06-13T19:22:00+00:00,99.9,cash,paid,TX-10107,payment
PAY-0108,ORD-0108,2026-06-26T01:03:00+00:00,104.7,marketplace,paid,TX-10108,payment
PAY-0109,ORD-0109,2026-06-07T17:16:00+00:00,19.9,marketplace,paid,TX-10109,payment
PAY-0110,ORD-0110,2026-06-05T15:58:00+00:00,74.8,credit_card,paid,TX-10110,payment
